"title" "path" "date"
"1" "[贈票] 《你的名字》特映會 電影神搜粉絲團贈票" "/bbs/movie/M.1475741390.A.91F.html" "10/06"
"2" "[贈票] 凱特貝琴薩《鬼開門》六日交換券贈票活動 " "/bbs/movie/M.1475741739.A.11C.html" "10/06"
"3" "[好雷] 怒火地平線 & 豆知識" "/bbs/movie/M.1475741791.A.64E.html" "10/06"
"4" "[贈票] 《哈拉夜未眠》首三日交換券贈票活動 " "/bbs/movie/M.1475748567.A.234.html" "10/06"
"5" "[片單] 氣場很邪的片" "/bbs/movie/M.1475749040.A.42C.html" "10/06"
"6" "[普雷] 列車上的女孩 " "/bbs/movie/M.1475749362.A.8AE.html" "10/06"
"7" "[贈票]10/6會計師特映會" "/bbs/movie/M.1475749941.A.5BF.html" "10/06"
"8" "[討論] 最近一部讓你從電影院奪門而出的" "/bbs/movie/M.1475751605.A.26F.html" "10/06"
"9" "[問片] 找金凱瑞電影" "/bbs/movie/M.1475752664.A.85A.html" "10/06"
"10" "[問片] 山中小屋、時間穿越、3個人、懸疑(有雷)" "/bbs/movie/M.1475756958.A.CA8.html" "10/06"
"11" "[討論]余天獨子余祥銓進軍電影界" "/bbs/movie/M.1475757305.A.7FF.html" "10/06"
"12" "[問片] 一部黑暗夢魘殺死還抓走母親的片" "/bbs/movie/M.1475759564.A.43B.html" "10/06"
"13" "[新聞] 改編朱自清《背影》版《屍速列車》" "/bbs/movie/M.1475761139.A.EF6.html" "10/06"
"14" "[片單] 求推薦精神變態型血腥片" "/bbs/movie/M.1475761660.A.2A9.html" "10/06"
"15" "[討論] 《猩球崛起：猩球戰爭》首支前導預告" "/bbs/movie/M.1475762141.A.120.html" "10/06"
"16" "Re: [片單] 不是標榜恐怖卻被嚇到的片" "/bbs/movie/M.1475762642.A.6FF.html" "10/06"
"17" "Re: [討論] 最近一部讓你從電影院奪門而出的" "/bbs/movie/M.1475764276.A.E26.html" "10/06"
"18" "[好雷] 龐克經理人 Danny Says " "/bbs/movie/M.1475764499.A.428.html" "10/06"
"19" "[好雷] 鬼關燈" "/bbs/movie/M.1475764943.A.0D1.html" "10/06"
"20" "[無雷] 怒火地平線" "/bbs/movie/M.1475765343.A.F0E.html" "10/06"
